12311	8157 2521
16171	14719 572 2984 9032 16193 5883 11929 5428
7303	16121 8070
15195	6482 7411 10943
13566	9671 11198 12842
4302	9016 10680 8063 1892
8548	
5786	8347 10099 6210 9042
11827	10931 933 1712 15096
7917	6210 13788 4147 2677 16151
8791	1841 10168 11873
13297	6210
4615	58
14437	3687 16428 11389 8364 14802 2529 12432 15833 11139 16346 15905 6297 10998 12028
11872	15326
2848	3629 6210 13480 933 9042 13708 2917
11481	3629 11409 13670 874 3525 8737 9841 2395
1626	9409 3629 8439 12097 6210 3797 8866 9042 5068 4337 13708 2335 4969 161 10131 328 12198 4919 4978 11989
12648	4851 16074 3473 8161 4026 14515 5121 9099 15633 1117 548 15879
15955	13946 12198 6210
15783	14903 10897 8157 14801 206 16048
8364	14437 14312 12028 15476 9111 8040 12222 12214 1892 9016 14679 3467 2025 7127 14183 4858 2722 11139 1242 15534 9652 5119 16187 15833 5514 12820 16039 8761 5298 9562 3715 13307 12967
1106	4987 14924 15051 4738 1552
9850	10680
12871	
15265	14120 14621
3411	5121 13027 481 9572 9815 3345 14571
12584	416 12014
5919	9209 9111 15862 9042 9455 1892 14621
3498	
10190	15452 7680
457	11129 10680
9210	11930 15662 3525 1892 10644 6487
5018	5746 2984 11409 16116 3471 15629 8348 2330 481 12341 4718 22 10948 462 10288 4156 9914 2144 12971 3198 2412 9841 1892 317 16077 101 6700 14244 10090 11064 12920 10633 9430 7141 3946 14338 9903 11960 1012 14696 6815 8433 13377 4635 13974 15320 7926 858 6932 6603 7332 8737 14039 14799 11372 3863 16037 4858 13215 6980
471	3881 1474 15873 3456 481 6900 6910 8738 251
2205	
12	8234 14019
1872	8128 5674 12719 1446
5514	8040 15581 6357 15476 15833 5119 12028 9016 12214 16346 8157 1242 15174 15841 11689 11749 12967 5874 14250 11516 11367 8364 11515 7203 4858 8972 9562 2328 10199 11054 13012 9988 8864 11736 8303 4097 1177 3715 2283 7923 11710
16496	850 11873 10849
16212	616 2473 462
12452	3525 6692 1081 3881 14194 251 10788 442 1802 1961 6910 5086 11085 14244 15873 6163
1255	
3711	7805 1742 9017 6210 14368 16230 2984 11873 10518 3676
567	7952 15147 4987 5949 9779 1379 7788 1892 16274 10721
2917	13890 9502 3629 2873 4476 16002 9178 15932 5283 6210 2958 3198 14081 8157 8675 11873 481 6174 9572 9209 878 7067 15085 2999 1571 1892 3891 12361 4640 6910 9993 14018 1443 15273 442 9946 1087 9558 2421 10816 7469 2324 14719 8980 14621 9430 3456 1802 15116 6188 462 15091 4197 12007 14511 15072 16509 5428 7788 5002 3391 13046 9980 2848 15901 9901 661 9202 2383 3114 8431 15580 10680 8665 10790 3753 8385 6163 14194 9230
12222	5830 10998 1337 768 15476 12028 2971 14108 16359 14710 11367 4868 14802 1499 8364 8298 15760 11139 10680 16346 12820 6357 5283 14312 11409 1033
15830	7256
296	764 15700
12341	9940 8054 9627 5018 101 462 11409 1943 12882 12971 3471 8737 10090 9841 3946 10288 5842 10948 11960 5746
12821	14590 9209 4497 5457 13223 5217 14841 8431 14474 10963 2458 5723 571 7919 5499 15863 3678 6410 1751 13788 10841 12393 7751 5070 14244 5460 10517 4411
5615	9016 1135 9137 2053 13817
6593	2610 11409 15792 4970 7063 7291 7185 15457 9728
14131	6749 1802 15541 8652 10790 481 7515 5428 10662 14621 5030 2283
15427	
4289	13879
12870	9042
13212	3667 12446 9209 387 3741 9432 9137 3137 15704 12067 16239 13193 13223 9068 7338 3629 5187 15640 14426 438 5217
110	14635
16474	14621 4847 5143 14039 13307
4124	
8506	
12098	11873 10680
